texto,sentimento,sentimento_previsto,aspecto,produto
"Amei demais a caixa de som, ótima qualidade, loja super confiável sou do estado do Pará, porém muito longe da capital, afuá Pará",positivo,positivo,qualidade,JBL Boombox 4
"Ótima caixa, chegou no prazo ela é potente original",positivo,positivo,entrega,JBL Boombox 4
"A caixa é bonita, toca muito bem, ainda depois da atualização que ela ficou melhor ainda.",positivo,positivo,qualidade,JBL Boombox 4
"Super satisfeita com a qualidade do som. Produto ótimo, original, podem comprar sem medo de ser feliz. Potência perfeita",positivo,positivo,qualidade,JBL Boombox 4
"Veio certinho, poderia pelo menos vir embalada.",neutro,positivo,entrega,JBL Boombox 4
Gostei de mais chegou certinho e dentro do prazo recomendo muito!!,positivo,positivo,entrega,JBL Boombox 4
"Venda excelente, chegou até antes do tempo, quanto ao produto PERFEITO.",positivo,positivo,entrega,JBL Boombox 4
Produto de qualidade 100% original loja top! Com nota fiscal!,positivo,positivo,qualidade,JBL Boombox 4
"Chegou certinho, so acho que deveria vir em uma embalagem que proporcionasse uma segurança, com lacres..",positivo,positivo,entrega,JBL Boombox 4
"Som muito potente e de boa qualidade, produto original, vale ressaltar que demorou a enviar e a caixa não veio com nenhuma proteção extra, chegou rasgada, amassada e com os selos soltos, precisa melhorar isso",neutro,positivo,entrega,JBL Boombox 4
Ótima caixa a melhor que já pode testar,positivo,positivo,qualidade,JBL Boombox 4
"Tenho a caixa 520, maravilhosa, e essa sem dúvidas top também.",positivo,positivo,qualidade,JBL Boombox 4
muito linda qualidade absurda da JBL nessa caixa ótimo dms,positivo,positivo,qualidade,JBL Boombox 4
Produto muito bom,positivo,positivo,qualidade,JBL Boombox 4
Demorou quase uma semana pra enviar mas chegou no prazo,neutro,positivo,entrega,JBL Boombox 4
Caixa top. Conforme o anunciado,positivo,positivo,qualidade,JBL Boombox 4
Recomendo a loja nota 10,positivo,positivo,qualidade,JBL Boombox 4
"Chegou aberto, o lacre plástico o vendedor tema em enviar a caixa de som sem embala da nisso, ainda não testei",negativo,positivo,entrega,JBL Boombox 4
Produto top demais só a embalagem deixou muito a desejar teria q ter mais cuidado,neutro,positivo,entrega,JBL Boombox 4
"Entregou dentro do prazo, porém a caixa estão colocando objetos pesados encima, rasgando-se a caixa. deveria ter mais cuidado",neutro,negativo,entrega,JBL Boombox 4
Caixa de excelente qualidade!!!,positivo,positivo,qualidade,JBL Boombox 4
"a caixa veio aberta sem o lacre da JBL mas no final estava tudo correto, caixa original",neutro,positivo,qualidade,JBL Boombox 4
"Caixa muito bonita, e entrega rápida.",positivo,positivo,entrega,JBL Boombox 4
boombox 4 é show!!,positivo,positivo,qualidade,JBL Boombox 4
"Fiquei decepcionado pois achei que ia abrir a caixa lacrada. E também não veio com a nota fiscal, vou pedir a loja agora mesmo. Pq fiquei com dúvida sobre a integridade do produto",negativo,negativo,qualidade,JBL Boombox 4
Chegou bem embalado. Tudo certo. Som potente,positivo,positivo,entrega,JBL Boombox 4
Chegou rápido muito top,positivo,positivo,entrega,JBL Boombox 4
Ótimo produto,positivo,positivo,qualidade,JBL Boombox 4
"Muito boa, sim ótimo",positivo,positivo,qualidade,JBL Boombox 4
Muito boa. Maravilha,positivo,positivo,qualidade,JBL Boombox 4
"A caixa Boombox 4 foi enviada sem nenhum tipo de proteção, veio só na embalagem da própria caixa. Deveria ter mais cuidado com o pedido, principalmente por ser algo que não é barato.",negativo,negativo,entrega,JBL Boombox 4
Qualidade sonora com portabilidade!,positivo,positivo,qualidade,JBL Boombox 4
Indico o produto e o vendedor,positivo,positivo,qualidade,JBL Boombox 4
Som veio em perfeito estado! Porém a caixa poderia vim coberta e com selo de frágil... o lacre em cima tava aberto. Mas veio completo!,neutro,positivo,entrega,JBL Boombox 4
Pode comprar produto muito bom,positivo,positivo,qualidade,JBL Boombox 4
Bom gostei muito do produto da marca da pra usar perfeitamente gostei muito da loja,positivo,positivo,qualidade,JBL Boombox 4
"Chegou direitinho, tudo bem embalado, mas faltou a nota fiscal",neutro,positivo,entrega,JBL Boombox 4
Ótimos produtos entrega rápida produtos originais so deveria vim com uma proteção na caixa original teve poucas rachadura na caixa mais tranquilo precisa reforçar mais,neutro,positivo,entrega,JBL Boombox 4
Tudo certo. Produto original. E dessa vez a embalagem veio em boas condições. Mas ainda pregam a etiqueta direto no produto. Poderiam ao menos colocar num saquinho e depois pregar pra não estragar a embalagem.,neutro,positivo,entrega,JBL Boombox 4
Comunicação péssima com o vendedor a caixa veio danificado porém a caixa é excelente original veio tudo certinho,neutro,negativo,entrega,JBL Boombox 4
"Chegou no tempo certo, aparentemente em bom estado vou fazer o teste!!",positivo,positivo,entrega,JBL Boombox 4
Embalagem veio com os lacres abertos mas com todos os itens em seu interior,neutro,positivo,entrega,JBL Boombox 4
Chegou rápido adorei caixa maravilhosa e bonita gostei muito msm. maravilhosa a caixa.,positivo,positivo,entrega,JBL Boombox 4
"Muito boa, gostei qualidade ótima, veio bem embalado, recomendo",positivo,positivo,qualidade,JBL Boombox 4
"Fiquei impressionado com a qualidade do som, já tenho uma Gradiente, mas essa daqui é fora do comum, as duas são muito boas.",positivo,positivo,qualidade,JBL Boombox 4
"Produto chegou antes do prazo, qualidade e potência JBL.",positivo,positivo,entrega,JBL Boombox 4
"De procedência JBL, me surpreendeu muito, fora da tomada tocando tão alto que nem testei na tomada, e ja fiz um teste contra minha outra partybox 110, mais leve e mais alta essa Boombox 4",positivo,positivo,qualidade,JBL Boombox 4
Só precisa vir melhor embalado,neutro,positivo,entrega,JBL Boombox 4
Top demais. Chegou bem rápido,positivo,positivo,entrega,JBL Boombox 4
"Linda demais, som ótimo. Eu amei demais",positivo,positivo,qualidade,JBL Boombox 4
Muito satisfeita com a compra.. volume ótimo.. qualidade excelente...comprem sem medo,positivo,positivo,qualidade,E6S TWS
"Produto ótimo, boa qualidade de áudio e bateria com boa capacidade, o mostrador de carga é ótimo, muito fácil de usar, ótimo custo benefício!",positivo,positivo,preço,E6S TWS
O fone é perfeito e parecido com o anuncio o material é ótimo essa cor é maravilhosa tbm. Não tem o que reclamar eu recomendo super,positivo,positivo,qualidade,E6S TWS
"Muito bom o produto! O grave do fone é ótimo, volume é bem alto, veio com 80% de bateria, veio com cabo para carregar só que é um pouco pequeno o cabo, mas não é um problema, chegou no prazo certo tudo funcionando.",positivo,positivo,entrega,E6S TWS
"Boa duração, fofinhos, não ficam com luz acesa quando conectados, som alto e nítido, bateria dura",positivo,positivo,qualidade,E6S TWS
"Produto de boa qualidade, qualidade do som é alta, e chegou antes do prazo determinado. Além de tudo é confortável, modelo diferente e a cor veio certa. Recomendo o vendedor e o produto",positivo,positivo,entrega,E6S TWS
"Produto excelente, chegou antes do prazo! Vale muito a pena, principalmente por conta do preço",positivo,positivo,preço,E6S TWS
"amei, som dele é muito alto, gostei bastante, veio bem embalado, chegou bem antes do prazo, podem comprar super recomendo",positivo,positivo,entrega,E6S TWS
"Fone perfeito. De boa qualidade, volume alto, chegou antes do previsto. Super recomendo",positivo,positivo,entrega,E6S TWS
"Qualidade ótima. Vou comprar novamente, preço maravilhoso, volume bem alto, todos funcionando super bem, vem bem embalados, entrega super rápida",positivo,positivo,preço,E6S TWS
"Muito bons, qualidade de som muito boa, Bluetooth de ótimo alcance, microfone muito bom, bateria ótima ou seja valor maravilhoso, a loja está de parabéns!",positivo,positivo,preço,E6S TWS
Lindos fones bluetooth! Ótimo valor melhor loja do aplicativo! O valor é muito bom comparado aos preços absurdos que os vendedores vendem aqui na minha cidade. Recomendo muito a loja choice oficial.,positivo,positivo,preço,E6S TWS
Muito bom ótima qualidade e o prazo de entrega totalmente rápido chegou antes do prazo pode comprar sem medo muito bom testado e aprovado,positivo,positivo,entrega,E6S TWS
"Não testei se funciona, mas amei o design e as cores que vieram exatamente como pedi, a loja que enviou no tempo certo e os entregadores que conseguiram entregar antes de prazo. Comprem sem medo.",positivo,positivo,entrega,E6S TWS
"O fone é bom! Testei ele por 2 dias, quando chegou fiquei assustada q ele não queria carregar. Porém, Precisa tirar o lacre azul q vem no fone para poder carregar. O Fone em si é mt bom o som dele é bom a bateria dele é boa tbm.",positivo,positivo,qualidade,E6S TWS
"Produto de muito boa qualidade, ótimo acabamento, cor igual a do anúncio, volume super bom, dura muito a bateria, e é super confortável. Veio muito bem embalado e chegou bem antes do prazo.",positivo,positivo,qualidade,E6S TWS
Som alto muito bom ótima qualidade veio com 96 porcento de bateria bem embalado vem com cabo de carregador ótimo amei!!!!!!!,positivo,positivo,qualidade,E6S TWS
Muito bom! O som é alto e de qualidade. Dá pra ouvir muito bem os graves e médios. Bateria durou umas 2 horas.,positivo,positivo,qualidade,E6S TWS
"Veio a cor certa que eu pedi, volume bom e entrega rápida, indico pois vale muito o preço e qualidade",positivo,positivo,preço,E6S TWS
"O fone é muito bom, volume alto e pelo preço incrível recomendo",positivo,positivo,preço,E6S TWS
"Muito bom, qualidade, volume, pelo preços é muito bom. Super indico a compra!",positivo,positivo,preço,E6S TWS
"Muito bom, alcança longas distâncias sem travar. Som de boa qualidade e material muito bom também.",positivo,positivo,qualidade,E6S TWS
O fone é excelente!! Veio com um cabo pra carregar. A qualidade do som é boa e bastante alta (oq foi surpreendente pelo valor pago) recomendo!,positivo,positivo,preço,E6S TWS
"Foi com certeza uma ótima compra. O fone é lindo, o som é limpo e alto, super valeu o custo benefício e chegou dentro do prazo. Super valeu a pena.",positivo,positivo,preço,E6S TWS
"Veio certinho amei o fone vem com o cabo carregador. Já testei e está funcionando normalmente. Comprei novamente. Recomendo o custo benefício é ótimo pós na minha cidade um desse tá 40,00 reais",positivo,positivo,preço,E6S TWS
"Muito bem embalado, som ótimo, chegou no prazo e ainda veio 100% de bateria. Espero que seja bom",positivo,positivo,entrega,E6S TWS
Esses fones são muito bom. Tem o som ótimo. Parabéns a loja e ao entregador também. E com certeza comprei mas.,positivo,positivo,qualidade,E6S TWS
Entrega super rápida! Em perfeito funcionamento e bem embalado. Ótimo custo benefício. Boa qualidade de som.,positivo,positivo,preço,E6S TWS
"Os fones são excelentes, volume bom e entrega rápida.",positivo,positivo,entrega,E6S TWS
O fone é muito bom o som é bem forte e chegou rápido,positivo,positivo,entrega,E6S TWS
"veio em ótimo estado e com a bateria quase completa. o som é de boa qualidade e bem alto, da pra controlar o volume e a pausa da música pelo fone mesmo isso é ótimo. vou comprar mais!",positivo,positivo,qualidade,E6S TWS
"O fone é bom, som alto e claro, bateria dura bastante! É um objeto delicado então tem que tomar muito cuidado pra não derrubar no chão, fora isso, amei.",positivo,positivo,qualidade,E6S TWS
"Recomendo demais! fones bonitos e bons, durabilidade muito boa e vem todos perfeitinhos!",positivo,positivo,qualidade,E6S TWS
"O fone veio certinho, o som é bom e alto, sem ruídos. Ele veio carregado(80%) e acompanha um cabo USB para carregamento. Gostei bastante, só acho que deveria vir melhor embalado.",neutro,positivo,entrega,E6S TWS
"Chegou dentro do prazo. Bem embalado. Funcionando perfeitamente, material bom, fácil manuseio. Vem com o cabo para carregar. Recomendo a compra!",positivo,positivo,entrega,E6S TWS
Perfeito. Já veio carregado. Ótimo custo benefício. Funciona bem e não ficou caindo da minha orelha. Vou testar pra correr.,positivo,positivo,preço,E6S TWS
"Muitooo bom, o som é ótimo, bem limpo, o grave e muito bom, é alto, veio funcionando perfeitamente e muito bem embalado. Recomendo e compraria novamente.",positivo,positivo,qualidade,E6S TWS
"Eu recomendo o produto. Gostei muito dos fones, tem boa duração e o bom som. Tem boa qualidade.",positivo,positivo,qualidade,E6S TWS
"Ótimo custo-benefício, a bateria dura bastante e o som não é ruim, veio certinho.",positivo,positivo,preço,E6S TWS
"Muito bommm! o audio é perfeito, chegou bem antes do esperado só que não chegou aq em casa tive que buscar nos correios...tirando isso o produto é perfeito!",neutro,positivo,entrega,E6S TWS
Muito bom fones podem compra sem medo chega tudo certinho parabéns para o vendedor estão todos de parabéns estão pegando tudo perfeitamente custo muito bom parabéns irei compra mais,positivo,positivo,preço,E6S TWS
"Chegou e testei o produto, os fones estão funcionando normalmente, o volume não muito alto, pelo custo benefício vale muito a pena adquirir o produto.",positivo,positivo,preço,E6S TWS
"Adorei minha compra! Vale super a pena. O fone veio super bem embalado e ainda veio com bateria para poder testá-lo, funcionando perfeitamente e a cor é linda! Irei comprar mais com certeza",positivo,positivo,qualidade,E6S TWS
"O fone veio bem embalado e é muito bonito, ele é de um material mt bom e a caixinha é mt segura, a caixinha veio com 100% de batería, ele chegou quase uma semana antes do prazo, vale mtt a pena!!",positivo,positivo,entrega,E6S TWS
"Ótimo custo benefício, reduz o som ao redor, altura ótima, super confortável, muito bom, super recomendo",positivo,positivo,preço,E6S TWS
"Muito bom o fone, funcionando perfeitamente, o som também e bom!",positivo,positivo,qualidade,E6S TWS
"Amei, a cor é linda, veio bem embalado, o som é bem alto e é fácil de mexer, se não conseguirem usar, assistam vídeos, tem vários explicando como usar. Eu amei esse",positivo,positivo,qualidade,E6S TWS
"Veio certinho, a qualidade do som fica boa e é bem alto, o detalhe em mostrar a porcentagem de bateria da caixinha é bem interessante.",positivo,positivo,qualidade,E6S TWS
"Muito bom o produto, chegou antes do prazo e também funciona perfeitamente.",positivo,positivo,entrega,E6S TWS
"Entrega rápida, veio em perfeito estado, pelo preço está ótimo.",positivo,positivo,preço,E6S TWS
"Amei o fone! Entregaram antes do prazo. Podem comprar. O som em si é alto, gosto disso.",positivo,positivo,entrega,E6S TWS
"Ótimo fone, alta qualidade sonora, graves, agudos e médios, o som contagia, é muito alto mesmo e tem uma ótima qualidade. O vendedor enviou em um dia, e chegou mais de 5 dias antes do prazo de entrega, a única crítica é o cabo dele, deveria ser mais grande, mas pela qualidade do produto por esse valor, está excelente, não tem oque reclamar!!",positivo,positivo,preço,E6S TWS
"Chegou super rápido e a qualidade é boa, vale o custo benefício.",positivo,positivo,preço,E6S TWS
"Ameii, o fone chegou antes do prazo, ele é perfeito, além de vim com o cabo USB ele é super alto e carrega muito rápido recomendo demais",positivo,positivo,entrega,E6S TWS
"Adorei o fone! Chegou 2 dias antes do prazo de entrega, gostei que veio na cor certa e veio carregado em 100% e o som é bem alto, porém, achei a caixinha do fone meio vagabunda, mas, foi barato então não tem nem como falar nada, mas, mesmo assim, gostei muito do fone.",neutro,positivo,preço,E6S TWS
"Muito bom, ótima qualidade, chegou do jeito que pedi e chegou antes do prazo, o volume dele e bom",positivo,positivo,entrega,E6S TWS
"Os fones são de ótima qualidade, som muito bom e o fato de existir um counter da bateria ajuda muito!",positivo,positivo,qualidade,E6S TWS
"Eu amei, veio bem embalado com bateria, o som é bem auto e n vaza o som pra outra pessoa ouvir, vem com o cabo pra carregar também",positivo,positivo,qualidade,E6S TWS
"Chegou antes do prazo. Gostei bastante, o som é bem alto e não demora muito para carregar, compraria novamente!",positivo,positivo,entrega,E6S TWS
"Som bom, não é muito alto. Bluetooth. Não é grandão nem muito pequeno. Para minha orelha, achei grande. Cor viva. Veio um cabo branco, fino USB para conectar no carregador.",neutro,negativo,qualidade,E6S TWS
